INFO:root:Start training with [gpu(0)]
INFO:root:Epoch[4] Batch [620]	Speed: 2935.22 samples/sec	Train-rmse=1.067620
INFO:root:Epoch[4] Batch [640]	Speed: 2931.15 samples/sec	Train-rmse=0.885944
INFO:root:Epoch[4] Batch [660]	Speed: 2937.38 samples/sec	Train-rmse=0.838461
INFO:root:Epoch[4] Batch [680]	Speed: 2934.12 samples/sec	Train-rmse=1.018798
INFO:root:Epoch[4] Batch [700]	Speed: 2925.35 samples/sec	Train-rmse=1.227173
INFO:root:Epoch[4] Batch [720]	Speed: 2934.11 samples/sec	Train-rmse=0.866423
INFO:root:Epoch[4] Batch [740]	Speed: 2934.03 samples/sec	Train-rmse=1.070056
INFO:root:Epoch[4] Batch [760]	Speed: 2926.43 samples/sec	Train-rmse=0.927278
INFO:root:Epoch[4] Resetting Data Iterator
INFO:root:Epoch[4] Time cost=26.751
INFO:root:Saved checkpoint to "model_exp/attract_model-0005.params"
INFO:root:Epoch[4] Validation-rmse=1.003311
