imgName,FA,CA,AV
../../../cfd/BM-239-N.jpg,3857.33725688,499.570961186,252.92336955
../../../cfd/BM-240-N.jpg,3522.07328619,471.588045818,142.995639483
../../../cfd/BM-241-N.jpg,3484.44385351,505.678524978,158.35953828
../../../cfd/BM-242-N.jpg,3605.3995851,481.680701142,166.417950713
../../../cfd/BM-243-N.jpg,3576.28638058,536.795939949,219.06518885
../../../cfd/BM-244-N.jpg,3541.54693919,525.260714526,184.746479997
../../../cfd/BM-245-N.jpg,3715.97857166,477.490167583,231.910265082
../../../cfd/BM-246-N.jpg,3540.78092661,501.585831542,199.406312389
../../../cfd/BM-247-N.jpg,3812.105335,509.778905007,224.578295773
../../../cfd/BM-248-N.jpg,3618.72752601,455.456912645,153.736664122
../../../cfd/BM-249-N.jpg,3581.50983079,479.086783369,158.224494083
../../../cfd/BM-250-N.jpg,3568.81982231,472.681511167,173.032412779
../../../cfd/BM-251-N.jpg,3438.80198399,492.258321955,153.335964312
../../../cfd/BM-252-N.jpg,3598.54633992,488.858556316,176.497220322
../../../cfd/BM-253-N.jpg,3780.44075547,498.949079953,213.276880314
../../../cfd/LF-200-N.jpg,3700.49192785,472.664217458,96.389765919
../../../cfd/LF-201-N.jpg,3377.44486937,483.067504028,137.545216881
../../../cfd/LF-202-N.jpg,3441.56361141,530.513855808,197.151548156
../../../cfd/LF-203-N.jpg,3517.78526814,480.519616547,57.5132041465
../../../cfd/LF-204-N.jpg,3557.37898969,489.218857071,128.946774595
../../../cfd/LF-205-N.jpg,3322.33856986,448.461857847,164.884891616
../../../cfd/LF-206-N.jpg,3510.02465194,430.480141025,105.493578832
../../../cfd/LF-207-N.jpg,3470.166045,516.473136731,43.2049833689
../../../cfd/LF-208-N.jpg,3314.75941627,491.333543569,148.425738498
../../../cfd/LF-209-N.jpg,3325.04528432,475.911297171,141.175642707
../../../cfd/LF-210-N.jpg,3544.67676391,485.70072388,63.4182334334
../../../cfd/LF-211-N.jpg,3284.23383925,405.542303982,143.470158149
../../../cfd/LF-212-N.jpg,3563.73120805,489.743601185,91.5855261347
../../../cfd/LF-213-N.jpg,3518.89666526,455.168089443,95.6152543303
../../../cfd/LF-214-N.jpg,3455.77660003,457.003509776,50.4773867303
../../../cfd/LF-215-N.jpg,3334.45493269,462.032683248,103.251974641
../../../cfd/LF-216-N.jpg,3114.19233948,436.584035923,252.802815661
../../../cfd/LF-217-N.jpg,3349.01780009,472.136297212,90.0954993905
../../../cfd/LF-218-N.jpg,3587.75840446,452.715028294,69.0570578955
../../../cfd/LF-219-N.jpg,3473.1707378,493.145547826,116.538040389
../../../cfd/LF-220-N.jpg,3167.2505639,487.049913713,261.53675755
../../../cfd/LF-221-N.jpg,3495.01966347,493.23967199,83.6088123518
../../../cfd/LF-222-N.jpg,3565.663229,451.936617947,75.3244848381
../../../cfd/LF-223-N.jpg,3346.95471733,442.380640198,105.124725558
../../../cfd/LF-224-N.jpg,3318.50703458,432.578297693,158.135810073
../../../cfd/LF-225-N.jpg,3408.64858917,442.943512876,109.513312979
../../../cfd/LF-226-N.jpg,3567.29088335,490.345625166,110.311611799
../../../cfd/LF-227-N.jpg,3244.20427157,442.13063292,131.422153942
../../../cfd/LF-228-N.jpg,3373.95487181,458.802092658,97.6541955041
../../../cfd/LF-229-N.jpg,3460.53522289,446.12534539,129.213082584
../../../cfd/LF-230-N.jpg,3167.99861488,440.890722858,146.011084308
../../../cfd/LF-231-N.jpg,3572.99809666,463.61210297,62.7570093028
../../../cfd/LF-232-N.jpg,3381.56249172,469.212726088,108.693464254
../../../cfd/LF-233-N.jpg,3588.64846958,465.389381294,146.730007763
../../../cfd/LF-234-N.jpg,3501.99076049,464.466962478,107.08843478
../../../cfd/LF-235-N.jpg,3134.35787862,393.178809522,162.282774242
../../../cfd/LF-236-N.jpg,3329.63898823,464.441988654,148.03579381
../../../cfd/LF-237-N.jpg,3395.00703146,467.695983848,88.049680236
../../../cfd/LF-238-N.jpg,3286.48269223,496.240378439,203.760345814
../../../cfd/LF-239-N.jpg,3439.54715199,506.442538597,133.256421689
../../../cfd/LF-240-N.jpg,3551.98490224,480.795499594,107.946369509
../../../cfd/LF-241-N.jpg,3658.41181597,469.146167455,139.766513157
../../../cfd/LF-242-N.jpg,3379.43021711,477.116572097,142.677314011
../../../cfd/LF-243-N.jpg,3313.26402703,451.236716805,145.704456386
../../../cfd/LF-244-N.jpg,3531.64612412,499.291006709,60.6477346616
../../../cfd/LF-245-N.jpg,3445.51971461,461.66636945,97.4949803499
../../../cfd/LF-246-N.jpg,3482.60931141,472.23232729,183.313116464
../../../cfd/LF-247-N.jpg,3365.1721164,470.194596036,68.9133109749
../../../cfd/LF-248-N.jpg,3494.67146666,487.281982679,163.611097837
../../../cfd/LF-249-N.jpg,3500.65512975,478.639177431,68.2041166845
../../../cfd/LF-250-N.jpg,3626.27961493,490.419721186,63.372400459
../../../cfd/LF-251-N.jpg,3523.6035699,448.615062194,75.7332851765
../../../cfd/LF-252-N.jpg,3828.6907731,553.485554323,163.051680629
../../../cfd/LF-253-N.jpg,3342.9686749,453.869989978,171.74613591
../../../cfd/LF-254-N.jpg,3407.45561376,468.579559323,98.9976915033
../../../cfd/LF-255-N.jpg,3503.83430557,470.143407834,88.3052114842
../../../cfd/LM-200-N.jpg,3322.926416,466.681948116,157.827893911
../../../cfd/LM-201-N.jpg,3739.0300729,520.937653353,169.656195591
../../../cfd/LM-202-N.jpg,3707.9138234,517.265999964,132.803183289
../../../cfd/LM-203-N.jpg,3807.60798371,546.74333446,123.563851341
../../../cfd/LM-204-N.jpg,3665.62846474,513.958422608,92.7148724119
../../../cfd/LM-206-N.jpg,3424.99341553,455.941055405,90.1942783858
../../../cfd/LM-207-N.jpg,3630.76639474,442.765833226,100.294678865
../../../cfd/LM-208-N.jpg,3573.85819897,445.4917324,177.890309246
../../../cfd/LM-209-N.jpg,3743.77019936,556.375941808,170.617994473
../../../cfd/LM-210-N.jpg,3763.31433323,517.597001647,192.492326586
../../../cfd/LM-211-N.jpg,3447.58103735,484.456127218,173.519208421
../../../cfd/LM-212-N.jpg,3550.93171176,466.272709592,34.4681427154
../../../cfd/LM-213-N.jpg,3418.70516971,494.400642188,145.831242728
