dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
mit,29,27.0185121722,50.0099990002,16.0909190441,201.022386813,10.0062460986,29.0086181285,150.053323855,127.003936947,80,68.5291908605,84.2503709191,66.0450415288,41.0121933088,97.7459920499,60.0187470712,1.7650584071,0.7464508119,1.1814856095,0.5402622018,0.0800454084,0.3449404606,0.0497767749,0.397965626,0.3285457037,0.2040180398,0.2985674781,0.4862443114,0.1146607961,0.6317900158
mit,30,28.0713376952,53.1507290637,20.0727234529,199.040196945,10.3490195136,30.6408083697,158.202402005,134.059688199,77.0064932327,70.6434710359,77.7536172792,71.4748650393,33.0151480384,112.89367522,53.0094331228,1.698647891,0.794826394,1.1800892881,0.5281458635,0.1008475864,0.3377528226,0.0519946205,0.3868891531,0.3590976403,0.1658717613,0.2663252646,0.5671903312,0.1212956688,0.6735307252
mit,31,23,48,18.5,201.002487547,8.7573465915,25.039936204,142.014083809,119.004201606,84.0059521701,63.0317380373,86.5003612709,66.8993432945,36.0555127546,95.4620343383,63.5019684734,1.6806106239,0.7065289865,1.1933535278,0.4791666667,0.0920386619,0.3497351798,0.0435683493,0.4179348882,0.3328284347,0.1793784405,0.3159262816,0.4749296166,0.1144756091,0.5920533773
mit,32,28.0713376952,51.0881590978,20.0276925691,200.089979759,7.2855339059,26.5476608965,152.210380724,127.19276709,73.0068489938,70.1141925718,75.7537127803,68.5235980562,42.0475920833,105.591007299,53.5,1.7791435134,0.7607096613,1.1966905368,0.5494685694,0.1000934309,0.2744322347,0.0364112881,0.3648700904,0.3424639162,0.2101434171,0.2673797062,0.527717617,0.1250318165,0.6356778448
mit,33,29.0172362571,53.0848377599,18.0808949231,201.002487547,7.0089172119,25.5862523283,149.120756436,123.016259088,84.0059521701,65.6543981771,84.7514749134,68.7996436135,33.0151480384,105.058588392,66.017043254,1.7332301045,0.7418851292,1.212203635,0.5466200422,0.0899535879,0.2739329356,0.0348698033,0.4179348882,0.3422825481,0.1642524351,0.3284389366,0.5226730757,0.1298715139,0.6120136153
mit,34,27.0185121722,50.0399840128,17.0854095271,200,9.2565743976,27.6791219944,132.094663026,114.039466852,89.1403387923,63.0971473206,90.8174680334,63.7177592587,30.0166620396,96.6704501145,67.1192967782,1.5355692668,0.6604733151,1.1583241019,0.5399384653,0.0854270476,0.3344244228,0.046282872,0.445701694,0.3185887963,0.1500833102,0.3355964839,0.4833522506,0.0902759809,0.5701973343
mit,35,24.0208242989,49,12,197.010152023,7.7811288742,23.5104121495,127.003936947,104.019228992,84.0238061504,60.0083327547,85.2503665681,68.3407264881,35.1283361405,91.4408584815,66.0075753228,1.5119516303,0.6446568141,1.220965952,0.4902209041,0.0609105667,0.3309652262,0.0394960808,0.4264948039,0.3468893648,0.1783072384,0.3350465681,0.4641428756,0.1166676322,0.5279891819
mit,36,28.0178514522,51.0098029794,18.0311288741,202.009900747,10.0249378106,28.1157966879,150.053323855,122.036879672,78.0576709875,67.5462804305,78.8071221401,73.871413859,37.1214223865,103.268864562,56.1426753905,1.6306291259,0.7428018295,1.2295735868,0.5492640594,0.0892586393,0.3565589096,0.0496259727,0.3864051747,0.3656821452,0.183760411,0.2779204147,0.5112069467,0.1386884706,0.6041133589
mit,37,29.0172362571,51,16,201.009950002,8.2573465915,26.6214825176,146,116.004310265,82.0243866176,64.5,84.2800391552,69.42735352,35,103.698631893,59.0338885726,1.5869565217,0.7263322039,1.2585739243,0.5689654168,0.0795980497,0.3101760612,0.0410792928,0.4080613254,0.3453926212,0.1741207338,0.2936864,0.5158880538,0.1492249002,0.5771073037
mit,38,24.0208242989,46.0108682813,20.5,199.06280416,10.7726805086,29.5857107569,147.030609058,121.016527797,78.006409993,68.0294054068,79.2535488164,67.6758404359,37.0540146273,102.608990163,54.5022935297,1.6790071489,0.738614176,1.2149630446,0.522068485,0.1029825742,0.364117685,0.0541169936,0.3918683368,0.3399723053,0.1861423322,0.2737944628,0.5154603875,0.1306827831,0.6079313928
mit,39,25.0199920064,53.0377224247,18.0810044953,201.062179437,8.0311288742,26.0480166417,149.214610545,124.064499354,67.0298440995,63.0971473206,68.7613626974,73.6222340698,43.0116263352,111.263117042,46.0434577329,1.5859542209,0.7421316677,1.2027180323,0.4717395631,0.0899274272,0.3083201683,0.0399435085,0.3333786806,0.3661664977,0.2139220139,0.2290010874,0.5533766587,0.1250862358,0.6170454319
mit,40,30.0665927567,49.0917508345,18.0830777072,200.039996001,9.0346316634,28.6729500159,149.40548852,126.253712817,75.0599760192,67.2681202354,77.0259696466,69.4082455811,42.0475920833,105.941133828,53.1906946749,1.65798979,0.7468780819,1.1833750088,0.6124571287,0.0903973109,0.3150925056,0.0451641264,0.3752248426,0.3469718405,0.2101959254,0.2659002986,0.5295997598,0.1157357337,0.6311423482
mit,41,29.0172362571,53.0377224247,15.5909190441,201.002487547,9.7628204962,28.7496078172,149.164338902,120.016665509,83.2165848855,70.0446286306,84.5946215784,72.3498081162,34.0587727319,107.387737469,60.2992537267,1.5854198997,0.7421019547,1.2428635496,0.5471056246,0.0775658015,0.3395809974,0.0485706451,0.4140077364,0.3599448395,0.1694445335,0.2999925745,0.5342607387,0.1450115058,0.5970904489
mit,42,28.0178514522,47.0425339454,16.5311288741,201.121853611,4.7995097568,25.5196078345,152.05262247,133.06013678,71.0070419043,66.507518372,75.5066222261,65.02575965,50.0399840128,102.379980606,53.5,1.818903666,0.7560223802,1.1427361053,0.5955855075,0.0821945929,0.1880714542,0.0238636909,0.3530548303,0.3233152364,0.24880431,0.2660078904,0.5090445358,0.09443273,0.6615896502
mit,43,36.0138862107,69.0651865993,24.0606066582,199.010049997,8.2578048855,30.5405555868,169.357609808,144.03124661,43.2897216438,76.1642960973,45.1359058843,87.9905492405,45.0998891351,129.348983573,20.353132437,1.4823884548,0.8510002877,1.1758393668,0.5214477508,0.1209014653,0.2703881683,0.0414944114,0.2175253041,0.4421412348,0.2266211638,0.1022718824,0.6499620676,0.1272617297,0.723738558
mit,44,30.1496268634,55.1452627158,19.0453610172,201.089532298,7.0794552658,24.6033826256,142.42541908,118.270875536,82.0243866176,59.3043000127,85.0132342638,67.5222950108,31.0161248385,99.9656666351,59.1354377679,1.5271363138,0.7082686873,1.2042306987,0.5467310405,0.0947108524,0.2877431682,0.0352054887,0.4078998329,0.335782247,0.1542403748,0.2940751669,0.4971201907,0.1201183536,0.5881503338
